1,3,2.0,"classics, science, fiction, fantasy, philosophy, ebooks, religion"
1,4,5.0,"science, ebooks, religion, philosophy, classics, fantasy, fiction"
1,5,4.0,"ebooks, fiction, classics, contemporary, romance, memoir"
1,7,4.0,"religion, ebooks, spirituality, romance, philosophy, fantasy, classics, poetry"
1,8,5.0,"romance, contemporary, fiction, classics"
1,10,2.0,"religion, fantasy, history, art, romance, ebooks, classics, mystery, suspense, contemporary, thriller, fiction"
1,11,4.0,"history, romance, ebooks, fiction, classics"
2,5,5.0,"ebooks, contemporary, romance, memoir, classics, fiction"
2,7,4.0,"romance, poetry, classics, philosophy, religion, fantasy, ebooks, spirituality"
2,13,5.0,"fiction, contemporary, history, ebooks, biography, music, nonfiction, memoir, travel"
2,17,5.0,"philosophy, business, art, spirituality, nonfiction, music, psychology, ebooks, fiction"
2,18,5.0,"paranormal, fiction, fantasy"
2,20,5.0,"horror, fiction, mystery, fantasy, romance, thriller, contemporary, suspense, paranormal, ebooks"
3,22,5.0,"fiction, classics, paranormal, mystery, romance, contemporary, fantasy"
3,23,3.0,"classics, paranormal, mystery, contemporary, fiction, fantasy"
3,24,4.0,"contemporary, mystery, paranormal, classics, fiction, fantasy"
3,25,3.0,"contemporary, ebooks, history, nonfiction"
3,26,4.0,"fiction, fantasy, classics"
3,27,4.0,"fantasy, art, fiction, nonfiction, science"
3,29,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
3,3,4.0,"religion, ebooks, philosophy, science, classics, fantasy, fiction"
3,30,3.0,"history, suspense, contemporary, fantasy, crime, mystery, horror, classics, fiction, thriller"
3,31,4.0,"science, classics, fantasy, fiction, travel, ebooks, romance"
3,34,3.0,"romance, science, fantasy, ebooks, contemporary, crime, suspense, mystery, thriller, fiction"
3,36,2.0,"history, philosophy, religion, psychology, classics, memoir, ebooks, horror, biography"
4,37,3.0,"history, nonfiction, biography, classics, ebooks, fiction"
4,38,3.0,"contemporary, fiction, mystery, fantasy, romance, thriller, suspense, classics, history, crime, ebooks"
4,42,2.0,"ebooks, philosophy, history, science, nonfiction, cookbooks, memoir"
4,43,3.0,"classics, fiction, travel, romance, history"
4,44,2.0,"nonfiction, memoir, contemporary, biography, fiction, ebooks"
4,45,2.0,"mystery, suspense, contemporary, fiction"
5,2,4.0,"ebooks, fiction, classics, fantasy"
5,7,2.0,"poetry, classics, philosophy, romance, spirituality, ebooks, fantasy, religion"
5,47,3.0,"fiction, fantasy, ebooks, history, thriller, classics"
5,48,3.0,"ebooks, religion, fiction, romance, classics"
5,49,4.0,"fiction, fantasy, classics, ebooks, science"
5,50,3.0,"crime, classics, philosophy, thriller, comics, mystery, fiction, contemporary"
5,17,4.0,"music, spirituality, philosophy, psychology, business, art, nonfiction, fiction, ebooks"
5,54,3.0,"paranormal, horror, classics, fiction, fantasy"
6,57,5.0,"fiction, contemporary, ebooks, history, memoir, nonfiction, travel, biography"
6,58,3.0,"fantasy, classics, fiction, ebooks"
6,59,4.0,"history, ebooks, classics, contemporary, fiction"
6,60,3.0,"classics, fiction, ebooks"
6,62,3.0,"classics, fiction, fantasy"
6,64,3.0,"contemporary, fantasy, romance, mystery, ebooks, science, business, philosophy, fiction, classics"
6,51,3.0,"thriller, mystery, science, fantasy, ebooks, suspense, contemporary, crime, horror, fiction"
6,16,4.0,"philosophy, science, psychology, nonfiction, business, art, history, classics"
6,65,3.0,"nonfiction, business, spirituality, ebooks, classics"
6,66,2.0,"religion, contemporary, classics, fiction, ebooks"
6,67,4.0,"classics, nonfiction, poetry, romance, fiction"
7,22,5.0,"romance, paranormal, mystery, contemporary, fantasy, fiction, classics"
7,23,1.0,"contemporary, fantasy, mystery, fiction, classics, paranormal"
7,56,4.0,"contemporary, ebooks, fiction, fantasy, classics, science"
7,69,4.0,"fiction, travel, ebooks, philosophy, science, nonfiction, history"
7,70,4.0,"nonfiction, memoir, history, biography, fiction, ebooks, contemporary, travel"
7,72,3.0,"history, travel, memoir, biography, fiction, ebooks, contemporary, nonfiction"
7,57,4.0,"travel, nonfiction, memoir, biography, ebooks, history, contemporary, fiction"
7,58,3.0,"classics, fantasy, ebooks, fiction"
7,73,3.0,"fiction, classics, contemporary"
7,4,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
7,74,5.0,"memoir, fiction, classics, history, sports, contemporary"
7,75,2.0,"romance, contemporary, fiction"
7,5,4.0,"classics, fiction, memoir, romance, ebooks, contemporary"
7,76,4.0,"romance, ebooks, fiction, classics"
7,8,3.0,"contemporary, romance, fiction, classics"
7,77,4.0,"classics, fiction, contemporary, romance"
7,64,4.0,"contemporary, business, philosophy, classics, fiction, fantasy, romance, mystery, ebooks, science"
7,78,4.0,"fiction, classics, crime"
8,26,4.0,"classics, fantasy, fiction"
8,29,3.0,"science, ebooks, religion, philosophy, fiction, fantasy, classics"
8,79,4.0,"fiction, romance, memoir, contemporary, classics, biography, ebooks"
8,7,5.0,"poetry, classics, philosophy, romance, spirituality, ebooks, religion, fantasy"
8,47,5.0,"thriller, classics, fiction, fantasy, ebooks, history"
8,8,4.0,"romance, classics, fiction, contemporary"
8,80,4.0,"romance, contemporary, ebooks, classics, fiction, history, philosophy"
