1,1,"fantasy, contemporary, romance, mystery, paranormal, fiction, classics"
1,3,"contemporary, fantasy, fiction, classics, paranormal, mystery"
1,4,"contemporary, mystery, paranormal, classics, fantasy, fiction"
1,5,"contemporary, mystery, paranormal, classics, fiction, fantasy"
1,16,"contemporary, nonfiction, history, ebooks"
1,17,"fiction, fantasy, classics"
1,20,"science, nonfiction, fiction, art, fantasy"
1,24,"ebooks, nonfiction"
1,25,"philosophy, religion, ebooks, science, classics, fantasy, fiction"
1,26,"fiction, fantasy, science, classics, philosophy, religion, ebooks"
1,40,"fantasy, thriller, crime, mystery, horror, classics, fiction, contemporary, suspense, history"
1,41,"romance, travel, science, classics, fantasy, ebooks, fiction"
1,54,"contemporary, fiction, memoir, classics"
1,76,"fiction, classics, romance, contemporary, ebooks"
1,96,"thriller, science, fantasy, ebooks, contemporary, crime, suspense, mystery, romance, fiction"
1,164,"suspense, ebooks, thriller, classics, crime, mystery, fiction"
1,518,"ebooks, memoir, classics, psychology, religion, biography, philosophy, history, horror"
2,1,"classics, contemporary, mystery, paranormal, romance, fiction, fantasy"
2,8,"fiction, fantasy, classics, science, ebooks, contemporary"
2,14,"fiction, contemporary, history, travel, nonfiction, memoir, biography, ebooks"
2,18,"fiction, classics, fantasy, ebooks"
2,22,"fiction, history, contemporary, classics, ebooks"
2,23,"classics, fiction, ebooks"
2,24,"ebooks, nonfiction"
2,28,"religion, ebooks, classics, fantasy, science, philosophy, fiction"
2,49,"classics, fiction, fantasy"
2,55,"fiction, mystery, ebooks, thriller, classics, crime, contemporary"
2,68,"fantasy, ebooks, mystery, romance, fiction, classics, philosophy, business, contemporary, science"
2,81,"crime, horror, contemporary, suspense, fantasy, science, mystery, thriller, fiction, ebooks"
2,84,"nonfiction, business, art, psychology, science, philosophy, history, classics"
2,98,"spirituality, ebooks, classics, nonfiction, business"
2,330,"fiction, classics, contemporary, religion, ebooks"
2,509,"classics, romance, fiction, nonfiction, poetry"
3,1,"contemporary, romance, mystery, paranormal, classics, fiction, fantasy"
3,3,"paranormal, fiction, classics, contemporary, fantasy, mystery"
3,6,"paranormal, classics, fiction, fantasy, mystery, contemporary, thriller"
3,8,"science, ebooks, contemporary, classics, fantasy, fiction"
3,10,"philosophy, science, nonfiction, history, ebooks, travel, fiction"
3,11,"contemporary, ebooks, fiction, biography, history, memoir, nonfiction, travel"
3,12,"memoir, travel, biography, nonfiction, history, ebooks, science, contemporary, fiction"
3,13,"nonfiction, travel, memoir, biography, fiction, history, contemporary, ebooks"
3,14,"biography, travel, nonfiction, memoir, history, ebooks, fiction, contemporary"
3,16,"contemporary, nonfiction, history, ebooks"
3,18,"fantasy, ebooks, fiction, classics"
3,21,"contemporary, classics, fiction"
3,22,"fiction, classics, contemporary, history, ebooks"
3,27,"classics, science, ebooks, fantasy, fiction, religion, philosophy"
3,30,"fiction, classics, history, contemporary, sports, memoir"
3,31,"contemporary, fiction, romance"
3,32,"contemporary, ebooks, romance, memoir, fiction, classics"
3,34,"ebooks, fiction, classics, romance"
3,39,"classics, fiction, contemporary, romance"
3,49,"classics, fiction, fantasy"
3,57,"fiction, contemporary, classics, romance"
3,68,"ebooks, science, romance, fiction, mystery, classics, philosophy, business, contemporary, fantasy"
3,341,"crime, classics, fiction"
4,1,"fantasy, classics, paranormal, mystery, fiction, romance, contemporary"
4,2,"fantasy, fiction, paranormal, mystery, romance"
4,4,"contemporary, mystery, paranormal, classics, fantasy, fiction"
4,8,"contemporary, ebooks, science, classics, fantasy, fiction"
4,9,"philosophy, contemporary, ebooks, science, classics, fiction, fantasy"
4,11,"fiction, biography, history, memoir, travel, ebooks, contemporary, nonfiction"
4,13,"ebooks, contemporary, history, fiction, biography, memoir, nonfiction, travel"
4,15,"ebooks, biography, history, fiction, contemporary, travel, nonfiction, memoir"
4,16,"nonfiction, ebooks, contemporary, history"
4,18,"fantasy, ebooks, fiction, classics"
4,20,"science, nonfiction, fiction, fantasy, art"
4,21,"fiction, classics, contemporary"
4,23,"classics, fiction, ebooks"
4,28,"philosophy, religion, ebooks, science, classics, fantasy, fiction"
4,29,"science, classics, fiction, nonfiction, fantasy, art"
4,34,"classics, fiction, romance, ebooks"
4,43,"romance, fiction, fantasy, classics, science"
4,50,"poetry, contemporary, fiction, biography, memoir, nonfiction"
4,64,"psychology, nonfiction, business"
4,98,"nonfiction, business, classics, ebooks, spirituality"
4,161,"mystery, fiction, crime, classics, thriller, suspense, ebooks"
4,166,"nonfiction, psychology, religion, history, philosophy, science"
4,451,"contemporary, fiction, mystery, thriller, crime, suspense, ebooks"
5,1,"contemporary, romance, mystery, paranormal, fiction, fantasy, classics"
5,17,"classics, fantasy, fiction"
5,26,"fiction, fantasy, classics, science, philosophy, ebooks, religion"
5,31,"romance, contemporary, fiction"
5,39,"classics, fiction, contemporary, romance"
5,42,"classics, religion, science, philosophy, fantasy, ebooks, fiction"
5,43,"fiction, fantasy, classics, science, romance"
5,49,"fiction, fantasy, classics"
5,53,"nonfiction, memoir, history, philosophy, travel, biography, classics, fiction, contemporary"
5,63,"science, psychology, nonfiction, fiction, contemporary, philosophy, history, biography, sports, music, memoir"
5,64,"psychology, nonfiction, business"
5,68,"romance, mystery, ebooks, science, fantasy, contemporary, philosophy, fiction, classics, business"
5,91,"fiction, mystery, fantasy, classics, contemporary"
5,118,"nonfiction, art, business, psychology, philosophy, spirituality, music, ebooks, fiction"
5,197,"business, nonfiction, science, psychology"
5,258,"thriller, crime, fiction, mystery, classics, ebooks, suspense"
5,531,"classics, fantasy, romance, contemporary, fiction, ebooks, mystery, science"
6,1,"fantasy, fiction, contemporary, classics, paranormal, mystery, romance"
6,3,"fantasy, fiction, classics, paranormal, mystery, contemporary"
6,5,"fiction, contemporary, mystery, paranormal, classics, fantasy"
6,8,"classics, fantasy, fiction, contemporary, ebooks, science"
6,10,"history, fiction, travel, ebooks, philosophy, science, nonfiction"
6,12,"ebooks, fiction, travel, biography, memoir, science, contemporary, history, nonfiction"
6,14,"memoir, nonfiction, travel, biography, contemporary, fiction, ebooks, history"
6,25,"fiction, fantasy, classics, philosophy, religion, ebooks, science"
6,27,"classics, fantasy, fiction, science, philosophy, religion, ebooks"
6,33,"fiction, classics, contemporary, ebooks, romance, biography"
6,41,"romance, travel, ebooks, science, classics, fiction, fantasy"
6,44,"philosophy, ebooks, classics, science, religion, fantasy, fiction, romance"
6,46,"fantasy, fiction, nonfiction, science, mystery, biography, ebooks, philosophy, religion, classics"
6,82,"fiction, fantasy, science, ebooks"
6,132,"fiction, classics, poetry, fantasy, philosophy, history, psychology"
6,199,"history, classics, fiction, crime, contemporary, mystery"
6,217,"travel, fantasy, ebooks, fiction, classics, history"
6,225,"travel, ebooks, romance, fiction, classics"
6,551,"ebooks, contemporary, horror, suspense, mystery, crime, fiction, thriller"
7,1,"mystery, romance, contemporary, paranormal, fantasy, fiction, classics"
7,3,"fantasy, fiction, classics, paranormal, mystery, contemporary"
7,4,"contemporary, mystery, paranormal, classics, fiction, fantasy"
7,26,"ebooks, classics, science, religion, fantasy, philosophy, fiction"
7,34,"ebooks, classics, fiction, romance"
7,38,"ebooks, classics, fiction, romance, religion"
7,43,"science, classics, fantasy, fiction, romance"
7,50,"poetry, biography, fiction, nonfiction, memoir, contemporary"
7,53,"nonfiction, memoir, history, classics, biography, travel, philosophy, fiction, contemporary"
7,55,"ebooks, thriller, classics, crime, contemporary, mystery, fiction"
7,64,"business, nonfiction, psychology"
7,69,"classics, history, contemporary, ebooks, business, fiction, psychology, nonfiction, philosophy"
7,84,"classics, history, philosophy, science, psychology, art, business, nonfiction"
7,99,"biography, business, nonfiction, memoir, history, psychology, philosophy"
7,148,"history, nonfiction, biography, fiction, classics, contemporary, memoir, travel"
7,171,"ebooks, horror, fantasy, mystery, religion, contemporary, paranormal, christian, thriller, romance, suspense, fiction"
7,274,"thriller, fiction, mystery, classics, suspense, crime, ebooks"
7,282,"ebooks, classics, contemporary, fiction"
7,336,"fiction, contemporary, mystery, ebooks, classics"
8,1,"classics, fiction, fantasy, paranormal, mystery, contemporary, romance"
8,3,"fiction, contemporary, mystery, paranormal, classics, fantasy"
8,4,"paranormal, mystery, contemporary, fantasy, classics, fiction"
8,6,"fiction, classics, paranormal, mystery, contemporary, thriller, fantasy"
8,10,"ebooks, fiction, science, philosophy, travel, nonfiction, history"
8,11,"travel, contemporary, ebooks, fiction, biography, history, memoir, nonfiction"
8,13,"travel, nonfiction, memoir, biography, fiction, history, contemporary, ebooks"
8,14,"fiction, contemporary, memoir, biography, history, ebooks, nonfiction, travel"
8,15,"ebooks, contemporary, fiction, history, biography, memoir, nonfiction, travel"
8,22,"ebooks, history, fiction, classics, contemporary"
8,23,"ebooks, fiction, classics"
8,24,"ebooks, nonfiction"
8,28,"ebooks, religion, philosophy, science, classics, fantasy, fiction"
8,29,"classics, science, fiction, nonfiction, art, fantasy"
8,30,"fiction, classics, memoir, sports, contemporary, history"
8,42,"fantasy, philosophy, classics, ebooks, religion, science, fiction"
8,50,"contemporary, memoir, nonfiction, fiction, biography, poetry"
8,60,"philosophy, thriller, crime, mystery, contemporary, fiction, romance"
8,64,"psychology, nonfiction, business"
8,106,"history, biography, nonfiction, fiction, memoir, business, ebooks"
8,109,"fiction, contemporary, ebooks, nonfiction, science, philosophy, history, business, psychology"
8,140,"psychology, nonfiction, business, ebooks"
8,146,"nonfiction, biography, classics, memoir, travel, history, fiction, contemporary, philosophy, ebooks"
9,1,"fantasy, fiction, paranormal, mystery, romance, contemporary, classics"
9,3,"classics, fiction, fantasy, paranormal, mystery, contemporary"
9,4,"fantasy, fiction, classics, paranormal, contemporary, mystery"
9,5,"classics, fiction, fantasy, paranormal, mystery, contemporary"
