user_id,item_id
1,3
1,4
1,5
1,7
1,8
1,10
1,11
1,654
2,5
2,7
2,13
2,17
2,18
2,20
2,436
3,3
3,22
3,23
3,24
3,25
3,26
3,27
3,29
3,30
3,31
3,34
3,36
3,190
3,245
4,37
4,38
4,42
4,43
4,44
4,45
5,2
5,7
5,17
5,47
5,48
5,49
5,50
5,54
5,383
6,16
6,31
6,51
6,57
6,58
6,59
6,60
6,62
6,64
6,65
6,66
6,67
7,4
7,5
7,8
7,22
7,23
7,56
7,57
7,58
7,64
7,69
7,70
7,72
7,73
7,74
7,75
7,76
7,77
7,78
7,226
7,474
7,726
8,7
8,8
8,26
8,29
8,47
8,79
8,80
8,81
8,373
9,9
9,42
9,49
9,61
9,73
9,77
9,84
9,87
9,88
9,89
9,90
9,91
9,93
9,94
9,95
9,437
9,484
10,96
10,97
10,100
10,101
10,102
11,30
11,93
11,102
11,105
11,107
11,110
11,111
11,112
12,2
12,49
12,89
12,97
12,117
12,118
12,120
12,121
12,658
13,22
13,24
13,25
13,27
13,39
13,56
13,60
13,61
13,65
13,72
13,73
13,76
13,84
13,88
13,124
13,125
13,128
13,129
13,130
13,332
13,427
14,3
14,14
14,22
14,26
14,62
14,64
14,86
14,88
14,131
14,132
14,133
14,134
14,449
14,711
15,135
15,137
15,138
15,139
15,140
15,144
16,14
16,33
16,97
16,116
16,148
16,150
16,151
16,570
17,41
17,111
17,152
17,156
17,157
18,37
18,40
18,51
18,158
18,162
19,17
19,30
19,43
19,166
19,167
20,24
20,28
20,56
20,58
20,59
20,61
20,66
20,68
20,72
20,76
20,84
20,139
20,534
21,17
21,132
21,169
21,170
21,172
21,173
21,175
22,37
22,38
22,40
22,41
22,80
22,178
22,622
23,4
23,6
23,22
23,23
23,31
23,57
23,69
23,71
23,97
23,179
23,180
23,181
23,182
23,183
23,184
23,204
24,174
24,177
24,180
24,186
24,187
24,191
24,192
24,287
25,3
25,4
25,5
25,13
25,48
25,61
25,67
25,75
25,76
25,85
25,171
25,179
25,195
26,4
26,29
26,47
26,199
26,200
26,201
26,203
26,458
27,33
27,68
27,116
27,131
27,206
27,208
27,209
27,210
27,257
28,3
28,9
28,16
28,62
28,64
28,87
28,211
28,212
28,510
29,24
29,26
29,28
29,58
29,68
29,72
29,82
29,84
29,95
29,98
29,124
29,125
29,126
29,131
29,132
29,147
29,214
29,215
29,217
29,312
30,85
30,111
30,132
30,195
30,221
31,1
31,185
31,223
31,224
31,225
31,227
31,228
32,16
32,22
32,23
32,24
32,63
32,86
32,88
32,118
32,126
32,127
32,199
32,229
32,230
32,231
32,363
32,690
33,184
33,191
33,192
33,235
33,237
34,14
34,37
34,38
34,40
34,78
34,106
34,181
34,206
34,220
34,238
34,242
34,243
34,348
35,5
35,29
35,63
35,199
35,245
35,246
36,22
36,24
36,27
36,28
36,57
36,59
36,60
36,61
36,70
36,74
36,84
36,87
36,88
36,125
36,127
36,131
36,142
36,159
36,205
36,220
36,371
37,3
37,28
37,44
37,62
37,63
37,76
37,88
37,127
37,205
37,249
37,250
37,251
37,361
37,446
38,13
38,14
38,24
38,33
38,49
38,57
38,63
38,68
38,69
38,71
38,73
38,94
38,97
38,119
38,123
38,147
38,252
38,253
38,299
38,465
38,504
39,151
39,206
39,254
39,255
39,256
39,698
40,2
40,7
40,25
40,26
40,58
40,61
40,84
40,86
40,88
40,115
40,126
40,132
40,568
41,27
41,29
41,30
41,73
41,75
41,127
41,164
41,260
42,37
42,38
42,40
42,49
42,63
42,85
42,99
42,202
42,205
42,222
42,231
42,261
42,262
42,342
43,8
43,14
43,109
43,199
43,264
43,279
44,97
44,182
44,185
44,226
44,270
45,10
45,176
45,218
45,272
45,274
46,146
46,158
46,195
46,278
46,279
46,281
47,2
47,3
47,22
47,23
47,124
47,229
47,283
47,284
47,285
47,721
48,30
48,100
48,116
48,146
48,200
48,215
48,253
48,592
49,17
49,19
49,48
49,58
49,60
49,85
49,86
49,87
49,90
49,109
49,110
49,131
49,152
49,245
49,287
49,288
49,315
49,394
50,235
50,291
50,292
50,293
50,294
50,295
51,10
51,19
51,49
51,96
51,296
52,19
52,75
52,146
52,160
52,297
52,298
52,299
52,402
53,10
53,22
53,24
53,25
53,27
53,28
53,57
53,59
53,61
53,62
53,64
53,68
53,69
53,71
53,72
53,73
53,74
53,91
53,111
53,118
53,123
53,124
53,125
53,283
53,288
53,300
53,676
53,720
53,725
54,10
54,52
54,65
54,81
54,83
54,87
54,93
54,95
54,111
54,112
54,219
54,225
54,302
54,303
54,304
54,305
54,604
54,634
55,6
55,50
55,115
55,262
55,308
55,309
56,118
56,310
56,311
56,312
56,315
57,9
57,14
57,88
57,93
57,126
57,251
57,389
58,130
58,146
58,147
58,182
58,208
59,35
59,44
59,152
59,173
59,202
59,319
59,320
59,321
59,323
60,108
60,153
60,253
60,326
60,327
61,77
61,152
61,204
61,288
61,291
61,427
62,23
62,25
62,56
62,58
62,74
62,88
62,126
62,160
62,196
62,283
62,288
62,322
62,337
63,63
63,97
63,206
63,208
63,252
63,255
63,259
63,332
63,711
64,106
64,136
64,300
64,327
64,336
64,640
65,97
65,117
65,139
65,182
65,269
65,313
65,339
65,548
66,13
66,18
66,109
66,131
66,288
66,367
67,50
67,116
67,135
67,141
67,209
67,290
68,81
68,114
68,172
68,185
68,344
68,345
68,347
69,16
69,23
69,27
69,43
69,58
69,61
69,71
69,84
69,123
69,124
69,125
69,146
69,191
69,261
69,283
69,349
69,350
70,14
70,37
70,146
70,220
70,352
71,9
71,60
71,61
71,65
71,85
71,88
71,97
71,126
71,127
71,159
71,283
71,353
71,712
72,90
72,356
72,357
72,358
72,359
72,360
73,4
73,8
73,11
73,80
73,99
73,158
73,189
73,199
73,221
73,362
73,363
73,364
73,504
74,4
74,22
74,26
74,74
74,77
74,79
74,88
74,128
74,232
74,318
74,505
75,14
75,57
75,69
75,70
75,71
75,88
75,123
75,125
75,270
75,318
75,369
75,696
76,1
76,9
76,22
76,23
76,24
76,56
76,60
